Device_ID,Lab_Name,Device_Type,Brand_Model,Purchase_Year,Age_Years,Warranty_Status,CPU,RAM,Storage,GPU,Daily_Usage_Hours,Users_Per_Day,Total_PC_In_Lab,Boot_Time,Application_Response,Benchmark_Score,Physical_Condition,Performance_Condition,Number_of_Failures,Downtime_Hours,Repair_Count,Annual_Maintenance_Cost_TK,Power_Consumption_W,Estimated_Annual_Energy_Cost_TK,Original_Purchase_Price_TK,Current_Replacement_Price_TK,Student_Teacher_Satisfaction,Decision
PC-17,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",531,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,361,145,4525,60000,61976,Dissatisfied,Keep
PC-18,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",424,"Very Good, Around 70-80%",70% - 80%,1,15,0-1 times/year/PC,579,145,4525,60000,60773,Satisfied,Keep
PC-19,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",500,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,725,145,4525,60000,59480,Satisfied,Keep
PC-20,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",814,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,524,145,4525,60000,62214,Very Satisfied,Keep
PC-21,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",727,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,822,145,4525,60000,60145,Satisfied,Keep
PC-22,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",732,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,557,145,4525,60000,61483,Very Satisfied,Keep
PC-23,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",444,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,747,145,4525,60000,60240,Neutral,Keep
PC-24,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",406,"Very Good, Around 70-80%",70% - 80%,6,15,0-1 times/year/PC,823,145,4525,60000,57710,Dissatisfied,Keep
PC-25,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",714,"Very Good, Around 70-80%",70% - 80%,3,15,0-1 times/year/PC,430,145,4525,60000,60196,Neutral,Keep
PC-26,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",792,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,533,145,4525,60000,58236,Very Satisfied,Keep
PC-27,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",684,"Very Good, Around 70-80%",70% - 80%,6,15,0-1 times/year/PC,686,145,4525,60000,58756,Neutral,Keep
PC-28,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",764,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,740,145,4525,60000,61412,Neutral,Keep
PC-29,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",632,"Very Good, Around 70-80%",70% - 80%,5,15,0-1 times/year/PC,492,145,4525,60000,62081,Very Satisfied,Keep
PC-30,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",529,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,635,145,4525,60000,57574,Neutral,Keep
PC-31,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",477,"Very Good, Around 70-80%",70% - 80%,2,15,0-1 times/year/PC,555,145,4525,60000,59369,Dissatisfied,Keep
PC-32,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",678,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,454,145,4525,60000,61611,Very Satisfied,Keep
PC-33,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",862,"Very Good, Around 70-80%",70% - 80%,1,15,0-1 times/year/PC,795,145,4525,60000,58953,Satisfied,Keep
PC-34,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",626,"Very Good, Around 70-80%",70% - 80%,1,15,0-1 times/year/PC,459,145,4525,60000,61587,Satisfied,Keep
PC-35,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",455,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,383,145,4525,60000,57626,Neutral,Keep
PC-36,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",688,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,559,145,4525,60000,60580,Dissatisfied,Keep
PC-37,Lab-10,Desktop PC,HP ProDesk 600 G6,2023,3,Active (3 yr),"Intel Core i7, 10th Gen","16 GB, DDR4",512 GB SSD (NVMe),No,9,7 per PC,37,12 sec - 18 sec,"Fast, under 30 sec",528,"Very Good, Around 70-80%",70% - 80%,0,15,0-1 times/year/PC,484,145,4525,60000,57670,Dissatisfied,Keep
